antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'TO LAND', 'So'})",frozenset({'CRIMINAL TRESPASS'}),0.0019608232282136264,0.026681485303748982,1.0,0.0019608232282136264,0.5367450163641774,0.864661419452909,2
"frozenset({'AM', 'TO LAND', 'So'})",frozenset({'CRIMINAL TRESPASS'}),0.0006112687796455435,0.026681485303748982,1.0,0.0006112687796455435,0.5114549241297233,0.9557776674577283,3
"frozenset({'TO LAND', 'PM', 'So'})",frozenset({'CRIMINAL TRESPASS'}),0.001349554448568083,0.026681485303748982,1.0,0.001349554448568083,0.525290092234454,0.9048723782612855,3
"frozenset({'APARTMENT', 'TO LAND'})",frozenset({'CRIMINAL TRESPASS'}),0.0007779784468216008,0.026681485303748982,1.0,0.0007779784468216008,0.5145789943469206,0.9440498664233665,2
"frozenset({'APARTMENT', 'PM', 'TO LAND'})",frozenset({'CRIMINAL TRESPASS'}),0.0004961597237382659,0.026681485303748982,1.0,0.0004961597237382659,0.5092978280273728,0.9639572040669956,3
"frozenset({'TO LAND', 'Sa'})",frozenset({'CRIMINAL TRESPASS'}),0.0022386726735070554,0.026681485303748982,1.0,0.0022386726735070554,0.541951800059506,0.8469317777035358,2
"frozenset({'TO LAND', 'PM', 'Sa'})",frozenset({'CRIMINAL TRESPASS'}),0.0014805406156349853,0.026681485303748982,1.0,0.0014805406156349853,0.5277447188336805,0.896112513826614,3
"frozenset({'TO LAND', 'AM', 'Sa'})",frozenset({'CRIMINAL TRESPASS'}),0.0007581320578720702,0.026681485303748982,1.0,0.0007581320578720702,0.5142070812258257,0.9454387546152525,3
"frozenset({'Di', 'TO LAND'})",frozenset({'CRIMINAL TRESPASS'}),0.0024728600631115168,0.026681485303748982,1.0,0.0024728600631115168,0.546340374888426,0.832244252480493,2
"frozenset({'Di', 'AM', 'TO LAND'})",frozenset({'CRIMINAL TRESPASS'}),0.0009049953360985969,0.026681485303748982,1.0,0.0009049953360985969,0.516959238321928,0.935207081840907,3
"frozenset({'Di', 'TO LAND', 'PM'})",frozenset({'CRIMINAL TRESPASS'}),0.00156786472701292,0.026681485303748982,1.0,0.00156786472701292,0.5293811365664981,0.8903165958720719,3
"frozenset({'CRIMINAL TRESPASS', 'SMALL RETAIL STORE'})",frozenset({'TO LAND'}),0.0008851489471490662,0.01598428165995197,0.9910313901345291,0.0008772103915692539,0.522955476542308,0.8958101436724746,2
