antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'PM', 'RESIDENCE', 'CHILD ABUSE'})",frozenset({'OFFENSE INVOLVING CHILDREN'}),0.0007714641692563746,0.0068080623298217915,1.0,0.0007714641692563746,0.5566581306017926,0.7969869987797491,3
"frozenset({'STREET', 'CRIMINAL DAMAGE', 'AM'})",frozenset({'TO VEHICLE'}),0.015661843407094606,0.055191598948218505,0.9436658914266405,0.014779547420140383,0.6057260354388666,0.5647992234522957,3
"frozenset({'STREET', 'AM', 'TO VEHICLE'})",frozenset({'CRIMINAL DAMAGE'}),0.01521431324433995,0.11409092692135984,0.9714238942489692,0.014779547420140383,0.5504828619507248,0.7750808128711034,3
"frozenset({'PM', 'CRIMINAL DAMAGE', 'STREET'})",frozenset({'TO VEHICLE'}),0.025087996104697464,0.055191598948218505,0.9365014363804454,0.02349494438795619,0.6810996375520214,0.3815656571332774,3
"frozenset({'PM', 'TO VEHICLE', 'STREET'})",frozenset({'CRIMINAL DAMAGE'}),0.02421815313096772,0.11409092692135984,0.9701377417550986,0.02349494438795619,0.5880347465257973,0.6630425696495442,3
"frozenset({'PM', 'CRIMINAL DAMAGE', 'RESIDENCE'})",frozenset({'TO PROPERTY'}),0.012508429133326318,0.052204588063662294,0.9324505948529046,0.011663492186045527,0.5779347526550058,0.6196713496199562,3
"frozenset({'PM', 'RESIDENCE', 'TO PROPERTY'})",frozenset({'CRIMINAL DAMAGE'}),0.011663492186045527,0.11409092692135984,1.0,0.011663492186045527,0.5511148980062407,0.8232146920710283,3
"frozenset({'PM', 'CRIMINAL DAMAGE', 'APARTMENT'})",frozenset({'TO PROPERTY'}),0.0070809389821031524,0.052204588063662294,0.9730264459539668,0.00688994089177273,0.5525030252848822,0.7658997385848346,3
"frozenset({'STREET', 'PM', 'AUTOMOBILE'})",frozenset({'MOTOR VEHICLE THEFT'}),0.01757976310632943,0.045328501149101794,1.0,0.01757976310632943,0.6939151158837488,0.4467575689506136,3
"frozenset({'STREET', 'PM', 'MOTOR VEHICLE THEFT'})",frozenset({'AUTOMOBILE'}),0.0216665307212723,0.035868880978458154,0.8113787727478464,0.01757976310632943,0.6507453043002078,0.25022526916317483,3
"frozenset({'STREET', 'AM', 'AUTOMOBILE'})",frozenset({'MOTOR VEHICLE THEFT'}),0.011275892149433668,0.045328501149101794,1.0,0.011275892149433668,0.6243797154503652,0.6070711614130408,3
"frozenset({'STREET', 'AM', 'MOTOR VEHICLE THEFT'})",frozenset({'AUTOMOBILE'}),0.014091207114157395,0.035868880978458154,0.8002076797313419,0.011275892149433668,0.5572859409215368,0.4403564248923971,3
