antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'RESIDENCE'}),frozenset({'1153'}),0.16437466544916401,0.01209106080166252,0.006218709657105073,0.03783253118789359,3.1289670781153975,0.004231245582906295,1.0267536278461082
frozenset({'1153'}),frozenset({'RESIDENCE'}),0.01209106080166252,0.16437466544916401,0.006218709657105073,0.5143229166666667,3.1289670781153975,0.004231245582906295,1.7205368818633837
frozenset({'1310'}),frozenset({'APARTMENT'}),0.050186561289713154,0.13518608898265058,0.01438175005510249,0.28656575954827074,2.1197873368838107,0.007597225114858081,1.2121844761330351
frozenset({'APARTMENT'}),frozenset({'1310'}),0.13518608898265058,0.050186561289713154,0.01438175005510249,0.10638483710367719,2.1197873368838107,0.007597225114858081,1.0628886775284991
frozenset({'1310'}),frozenset({'RESIDENCE'}),0.050186561289713154,0.16437466544916401,0.017672155924304923,0.3521292447651165,2.1422355069310797,0.009422756702264357,1.2898025228008365
frozenset({'RESIDENCE'}),frozenset({'1310'}),0.16437466544916401,0.050186561289713154,0.017672155924304923,0.10751143356559635,2.1422355069310797,0.009422756702264357,1.0642303716056585
frozenset({'1320'}),frozenset({'STREET'}),0.04719528322680185,0.22082716710223874,0.032136559715356276,0.6809273621883078,3.0835307590259107,0.02171455901979382,2.4419920123567835
frozenset({'STREET'}),frozenset({'1320'}),0.22082716710223874,0.04719528322680185,0.032136559715356276,0.14552810751078316,3.0835307590259107,0.02171455901979382,1.115080232771053
frozenset({'143A'}),frozenset({'STREET'}),0.016251298844422054,0.22082716710223874,0.008572373185553702,0.527488496003875,2.3886938501532198,0.004983644900008094,1.649002884179834
frozenset({'STREET'}),frozenset({'143A'}),0.22082716710223874,0.016251298844422054,0.008572373185553702,0.03881937760667309,2.3886938501532198,0.004983644900008094,1.0234795398871617
frozenset({'2820'}),frozenset({'RESIDENCE'}),0.013763814981580025,0.16437466544916401,0.00674218331811455,0.48984844152130397,2.9800726297009494,0.004479760835213142,1.6379942796660727
frozenset({'RESIDENCE'}),frozenset({'2820'}),0.16437466544916401,0.013763814981580025,0.00674218331811455,0.041017168306874505,2.980072629700949,0.004479760835213142,1.0284190210967359
frozenset({'RESIDENCE'}),frozenset({'2826'}),0.16437466544916401,0.009737397273213893,0.005376428728864259,0.03270837822953332,3.3590473215577967,0.0037758473097341235,1.0237477307146265
frozenset({'2826'}),frozenset({'RESIDENCE'}),0.009737397273213893,0.16437466544916401,0.005376428728864259,0.5521422797089733,3.359047321557797,0.0037758473097341235,1.8658276874357114
frozenset({'460'}),frozenset({'SIDEWALK'}),0.06388740199628452,0.07868635662331937,0.011410151453131396,0.1785978314440611,2.2697433088563175,0.0063830845559143855,1.121635270328529
frozenset({'SIDEWALK'}),frozenset({'460'}),0.07868635662331937,0.06388740199628452,0.011410151453131396,0.14500800320128052,2.269743308856317,0.0063830845559143855,1.0948787842561445
frozenset({'486'}),frozenset({'APARTMENT'}),0.09242262035958311,0.13518608898265058,0.035222299190780564,0.38110041734094197,2.81908013027769,0.022728046610840227,1.3973412412103074
frozenset({'APARTMENT'}),frozenset({'486'}),0.13518608898265058,0.09242262035958311,0.035222299190780564,0.260546772643899,2.81908013027769,0.022728046610840227,1.227362794649555
frozenset({'RESIDENCE'}),frozenset({'486'}),0.16437466544916401,0.09242262035958311,0.030475613212002896,0.18540334746067094,2.006038637936615,0.015283675910461328,1.1141432717790336
frozenset({'486'}),frozenset({'RESIDENCE'}),0.09242262035958311,0.16437466544916401,0.030475613212002896,0.3297419299889277,2.006038637936615,0.015283675910461328,1.246721780667306
frozenset({'So'}),frozenset({'486'}),0.142868950533707,0.09242262035958311,0.017215592430492144,0.1204991873054354,1.3037845804048456,0.004011269654143284,1.0319232984672668
frozenset({'486'}),frozenset({'So'}),0.09242262035958311,0.142868950533707,0.017215592430492144,0.1862703347244698,1.3037845804048456,0.004011269654143284,1.053336367153417
frozenset({'560'}),frozenset({'APARTMENT'}),0.05406341509493372,0.13518608898265058,0.008962026512169778,0.165768782760629,1.2262266332884542,0.001653404868440094,1.0366597331123406
frozenset({'APARTMENT'}),frozenset({'560'}),0.13518608898265058,0.05406341509493372,0.008962026512169778,0.06629399947593677,1.2262266332884542,0.001653404868440094,1.0130989673131996
frozenset({'610'}),frozenset({'APARTMENT'}),0.021273497276362605,0.13518608898265058,0.006502093894644038,0.30564292321924147,2.260905138386442,0.003626212998869508,1.245488726098794
frozenset({'APARTMENT'}),frozenset({'610'}),0.13518608898265058,0.021273497276362605,0.006502093894644038,0.04809735930357819,2.260905138386442,0.003626212998869508,1.0281792074949923
frozenset({'RESIDENCE'}),frozenset({'610'}),0.16437466544916401,0.021273497276362605,0.006344658207122391,0.0385987596676484,1.8144059327065243,0.002847834209386586,1.0180208446426555
frozenset({'610'}),frozenset({'RESIDENCE'}),0.021273497276362605,0.16437466544916401,0.006344658207122391,0.29824236817761335,1.8144059327065245,0.002847834209386586,1.190760594054118
frozenset({'810'}),frozenset({'STREET'}),0.05590147674674895,0.22082716710223874,0.01827041153688718,0.32683235936069843,1.4800369159714,0.005925846790070936,1.1574722043349968
frozenset({'STREET'}),frozenset({'810'}),0.22082716710223874,0.05590147674674895,0.01827041153688718,0.08273624924250525,1.4800369159714,0.005925846790070936,1.0292552414434732
frozenset({'820'}),frozenset({'STREET'}),0.09111196826096539,0.22082716710223874,0.031557983563714226,0.3463648537733812,1.5684884170660984,0.011437985723536149,1.1920607962957028
frozenset({'STREET'}),frozenset({'820'}),0.22082716710223874,0.09111196826096539,0.031557983563714226,0.1429080668734182,1.5684884170660984,0.011437985723536149,1.0604323720834778
frozenset({'860'}),frozenset({'DEPARTMENT STORE'}),0.04273985326993923,0.019108756572939953,0.01228785541106458,0.28750345335666266,15.045639011582699,0.011471149958966139,1.3766961370524033
frozenset({'DEPARTMENT STORE'}),frozenset({'860'}),0.019108756572939953,0.04273985326993923,0.01228785541106458,0.643048403707518,15.045639011582697,0.011471149958966139,2.6817645772501124
frozenset({'GROCERY FOOD STORE'}),frozenset({'860'}),0.013370225762775906,0.04273985326993923,0.006753990994678674,0.5051516043567854,11.819217093851844,0.00618254950739167,1.9344513494598552
frozenset({'860'}),frozenset({'GROCERY FOOD STORE'}),0.04273985326993923,0.013370225762775906,0.006753990994678674,0.15802560088405931,11.819217093851845,0.00618254950739167,1.1718049566271482
frozenset({'860'}),frozenset({'SMALL RETAIL STORE'}),0.04273985326993923,0.02716552788186026,0.013511917881545389,0.3161432912791233,11.63766419905381,0.012350867205874238,1.4225706346257583
frozenset({'SMALL RETAIL STORE'}),frozenset({'860'}),0.02716552788186026,0.04273985326993923,0.013511917881545389,0.4973920602723848,11.637664199053813,0.012350867205874238,1.9045862014214123
frozenset({'890'}),frozenset({'RESTAURANT'}),0.039044050505368556,0.02633505463018357,0.007186939135363204,0.1840725806451613,6.989641116376838,0.006158711932320676,1.1933229871594488
frozenset({'RESTAURANT'}),frozenset({'890'}),0.02633505463018357,0.039044050505368556,0.007186939135363204,0.27290390076221793,6.989641116376839,0.006158711932320676,1.3216354076194408
frozenset({'STREET'}),frozenset({'910'}),0.22082716710223874,0.03031424163229321,0.022029188576466515,0.0997576016825295,3.2907833516857488,0.01533498047395446,1.0771385131160496
frozenset({'910'}),frozenset({'STREET'}),0.03031424163229321,0.22082716710223874,0.022029188576466515,0.7266943650999741,3.2907833516857488,0.01533498047395446,2.850921215666774
"frozenset({'Sa', '1320'})",frozenset({'STREET'}),0.007387669636953305,0.22082716710223874,0.0051599546585219935,0.6984549813532231,3.1629033262463215,0.0035285565011063708,2.583935348673317
"frozenset({'Sa', 'STREET'})",frozenset({'1320'}),0.03385654460153027,0.04719528322680185,0.0051599546585219935,0.15240641711229946,3.2292722215458385,0.003562085446971923,1.1241292242056027
frozenset({'1320'}),"frozenset({'Sa', 'STREET'})",0.04719528322680185,0.03385654460153027,0.0051599546585219935,0.10933199899924943,3.2292722215458385,0.003562085446971923,1.0847402784347424
frozenset({'STREET'}),"frozenset({'Sa', '1320'})",0.22082716710223874,0.007387669636953305,0.0051599546585219935,0.023366484867928562,3.1629033262463215,0.0035285565011063708,1.0163611170243472
"frozenset({'So', '1320'})",frozenset({'STREET'}),0.007730092257312888,0.22082716710223874,0.005329198022607765,0.6894093686354379,3.121940917334028,0.00362218364798641,2.508681055428202
"frozenset({'So', 'STREET'})",frozenset({'1320'}),0.034525646273497274,0.04719528322680185,0.005329198022607765,0.1543547651618787,3.270554907364594,0.003699750368141685,1.126719193250808
frozenset({'1320'}),"frozenset({'So', 'STREET'})",0.04719528322680185,0.034525646273497274,0.005329198022607765,0.11291802184972062,3.2705549073645943,0.003699750368141685,1.0883710609696808
frozenset({'STREET'}),"frozenset({'So', '1320'})",0.22082716710223874,0.007730092257312888,0.005329198022607765,0.024132891312872065,3.1219409173340282,0.00362218364798641,1.016808435195266
"frozenset({'486', 'Sa'})",frozenset({'APARTMENT'}),0.01504297994269341,0.13518608898265058,0.005852671683617242,0.3890633176347462,2.877983382481592,0.003819070058520063,1.4155540761919956
"frozenset({'APARTMENT', 'Sa'})",frozenset({'486'}),0.020084857835574167,0.09242262035958311,0.005852671683617242,0.2913972173231433,3.1528776850236633,0.003996376492903773,1.280798497871971
frozenset({'486'}),"frozenset({'APARTMENT', 'Sa'})",0.09242262035958311,0.020084857835574167,0.005852671683617242,0.06332510007665446,3.152877685023663,0.003996376492903773,1.0461635539124823
frozenset({'APARTMENT'}),"frozenset({'486', 'Sa'})",0.13518608898265058,0.01504297994269341,0.005852671683617242,0.04329344629807552,2.877983382481592,0.003819070058520063,1.0295288730343368
"frozenset({'So', '486'})",frozenset({'APARTMENT'}),0.017215592430492144,0.13518608898265058,0.006494222110267955,0.3772290809327846,2.7904430387153014,0.004166913500070399,1.388654936413321
"frozenset({'So', 'APARTMENT'})",frozenset({'486'}),0.020332819043420762,0.09242262035958311,0.006494222110267955,0.31939605110336816,3.455821203301889,0.0046150096949777765,1.333488265990442
"frozenset({'486', 'APARTMENT'})",frozenset({'So'}),0.035222299190780564,0.142868950533707,0.006494222110267955,0.18437814280925244,1.2905403316849606,0.001462049189496899,1.0508926923789363
frozenset({'So'}),"frozenset({'486', 'APARTMENT'})",0.142868950533707,0.035222299190780564,0.006494222110267955,0.045455797680376865,1.2905403316849606,0.001462049189496899,1.0107208220056525
frozenset({'486'}),"frozenset({'So', 'APARTMENT'})",0.09242262035958311,0.020332819043420762,0.006494222110267955,0.0702665871731539,3.455821203301889,0.0046150096949777765,1.0537076192388417
frozenset({'APARTMENT'}),"frozenset({'So', '486'})",0.13518608898265058,0.017215592430492144,0.006494222110267955,0.04803913005502664,2.7904430387153014,0.004166913500070399,1.0323789964458479
"frozenset({'So', 'RESIDENCE'})",frozenset({'486'}),0.023528763500110204,0.09242262035958311,0.005801505085172707,0.2465707594513215,2.6678615959167087,0.0036269151086716052,1.2045953764410329
"frozenset({'So', '486'})",frozenset({'RESIDENCE'}),0.017215592430492144,0.16437466544916401,0.005801505085172707,0.33699131229995427,2.050141433773292,0.0029716978389014003,1.2603535218363298
"frozenset({'RESIDENCE', '486'})",frozenset({'So'}),0.030475613212002896,0.142868950533707,0.005801505085172707,0.19036549141159756,1.3324483080505638,0.001447486208702678,1.0586641754693742
frozenset({'So'}),"frozenset({'RESIDENCE', '486'})",0.142868950533707,0.030475613212002896,0.005801505085172707,0.04060717926113667,1.3324483080505638,0.001447486208702678,1.010560393855492
frozenset({'RESIDENCE'}),"frozenset({'So', '486'})",0.16437466544916401,0.017215592430492144,0.005801505085172707,0.03529439934870579,2.0501414337732915,0.0029716978389014003,1.0187402321558081
frozenset({'486'}),"frozenset({'So', 'RESIDENCE'})",0.09242262035958311,0.023528763500110204,0.005801505085172707,0.06277148454135081,2.6678615959167087,0.0036269151086716052,1.041871027603163
