antecedents,consequents,as,cs,confidence,support,kluc,imb ratio
"frozenset({'So', 'THEFT'})",frozenset({'PM'}),0.03080556492746145,0.6291384682557009,0.6387063522741915,0.01967571000456467,0.33499020279921987,0.9340733706300863
"frozenset({'STREET', 'So', 'THEFT'})",frozenset({'PM'}),0.007164546410780559,0.6291384682557009,0.6349030470914128,0.004548792347232421,0.32106661988518476,0.9844544623841756
"frozenset({'THEFT', 'APARTMENT'})",frozenset({'PM'}),0.01779030305435926,0.6291384682557009,0.609995537706381,0.01085200547760335,0.31362226570496526,0.9616381105631842
"frozenset({'THEFT', 'Fr', 'APARTMENT'})",frozenset({'PM'}),0.002782463730724195,0.6291384682557009,0.6248216833095578,0.0017385436719788835,0.3137925276902863,0.9939470774396282
"frozenset({'THEFT', 'Di', 'APARTMENT'})",frozenset({'PM'}),0.0028023101196737255,0.6291384682557009,0.6373937677053824,0.001786175005457757,0.3201164243001303,0.9939039751552237
"frozenset({'THEFT', 'Do', 'APARTMENT'})",frozenset({'PM'}),0.0023101196737253657,0.6291384682557009,0.6408934707903781,0.0014805406156349853,0.3216233766993997,0.9949732090332126
"frozenset({'THEFT', 'Mi', 'APARTMENT'})",frozenset({'PM'}),0.002631631174707762,0.6291384682557009,0.6108597285067874,0.0016075575049119813,0.3067074506560889,0.9942746877079456
"frozenset({'Mo', 'THEFT', 'APARTMENT'})",frozenset({'PM'}),0.002496675729850954,0.6291384682557009,0.6057233704292527,0.0015122948379542342,0.3040635627934582,0.9945678619935743
frozenset({'CRIMINAL TRESPASS'}),frozenset({'PM'}),0.026681485303748982,0.6291384682557009,0.6215412079738173,0.016583642606227796,0.32395024840779924,0.9427626003703192
"frozenset({'CRIMINAL TRESPASS', 'So'})",frozenset({'PM'}),0.00345327167721833,0.6291384682557009,0.6436781609195402,0.002222795562347431,0.32360561968324997,0.9924907781246348
"frozenset({'CRIMINAL TRESPASS', 'Sa'})",frozenset({'PM'}),0.003608073511024669,0.6291384682557009,0.6358635863586358,0.002294242562565741,0.3197551140206953,0.9921548722617382
"frozenset({'CRIMINAL TRESPASS', 'TO VEHICLE'})",frozenset({'PM'}),0.003445333121638518,0.6291384682557009,0.6094470046082949,0.002099747950860341,0.3063922509634704,0.9925080057154815
"frozenset({'CRIMINAL TRESPASS', 'Di'})",frozenset({'PM'}),0.004080417568023498,0.6291384682557009,0.617704280155642,0.0025204913965903904,0.31085526937587404,0.9911303067304126
"frozenset({'CRIMINAL TRESPASS', 'SMALL RETAIL STORE'})",frozenset({'PM'}),0.0008851489471490662,0.6291384682557009,0.7040358744394619,0.0006231766130152618,0.35251319910917084,0.9980723101441108
"frozenset({'CRIMINAL TRESPASS', 'Do'})",frozenset({'PM'}),0.0037866910115704447,0.6291384682557009,0.611111111111111,0.0023140889515152717,0.3073946490685711,0.9917673645807614
"frozenset({'CRIMINAL TRESPASS', 'PARKING LOT/GARAGE(NON.RESID.)'})",frozenset({'PM'}),0.0012423839482406177,0.6291384682557009,0.6517571884984025,0.0008097326691408498,0.32652211925204033,0.9972948880710368
"frozenset({'CRIMINAL TRESPASS', 'STREET'})",frozenset({'TO VEHICLE'}),0.0021831027844483697,0.050941711155655225,0.9509090909090909,0.0020759322841209043,0.49583011036026464,0.9197376835233984
"frozenset({'CRIMINAL TRESPASS', 'TO VEHICLE'})",frozenset({'STREET'}),0.003445333121638518,0.2211760970091492,0.6025345622119815,0.0020759322841209043,0.3059602210578949,0.9726228124475468
"frozenset({'CRIMINAL TRESPASS', 'STREET', 'AM'})",frozenset({'TO VEHICLE'}),0.0008851489471490662,0.050941711155655225,0.968609865470852,0.0008573640026197233,0.49272008000050316,0.9666831218349438
"frozenset({'CRIMINAL TRESPASS', 'AM', 'TO VEHICLE'})",frozenset({'STREET'}),0.0013455851707781768,0.2211760970091492,0.6371681415929203,0.0008573640026197233,0.3205222639697131,0.9892290738102448
"frozenset({'CRIMINAL TRESPASS', 'STREET', 'PM'})",frozenset({'TO VEHICLE'}),0.0012979538372993034,0.050941711155655225,0.9388379204892966,0.0012185682815011808,0.48137937788529034,0.9515120606629908
"frozenset({'CRIMINAL TRESPASS', 'Fr'})",frozenset({'PM'}),0.003949431400956596,0.6291384682557009,0.6110552763819096,0.002413320896262925,0.30744559506216146,0.9914143729059283
"frozenset({'CRIMINAL TRESPASS', 'Mi'})",frozenset({'PM'}),0.003917677178637347,0.6291384682557009,0.6089159067882473,0.002385535951733582,0.3063538285250368,0.9914832440243772
"frozenset({'CRIMINAL TRESPASS', 'Mo'})",frozenset({'PM'}),0.003885922956318098,0.6291384682557009,0.6261491317671093,0.0024331672852124556,0.3150082954263995,0.9915521177152378
frozenset({'TO LAND'}),frozenset({'CRIMINAL TRESPASS'}),0.01598428165995197,0.026681485303748982,1.0,0.01598428165995197,0.7995388277298423,0.2532524936150946
frozenset({'TO LAND'}),frozenset({'PM'}),0.01598428165995197,0.6291384682557009,0.6491184504593991,0.010375692142814615,0.3328051779621572,0.9654961496442516
"frozenset({'TO LAND', 'AM'})",frozenset({'CRIMINAL TRESPASS'}),0.005608589517137357,0.026681485303748982,1.0,0.005608589517137357,0.6051026480214222,0.6556507249924983
"frozenset({'TO LAND', 'So'})",frozenset({'CRIMINAL TRESPASS'}),0.0019608232282136264,0.026681485303748982,1.0,0.0019608232282136264,0.5367450163641774,0.864661419452909
"frozenset({'TO LAND', 'So'})",frozenset({'PM'}),0.0019608232282136264,0.6291384682557009,0.688259109311741,0.001349554448568083,0.34520209632726895,0.9957323961352584
"frozenset({'AM', 'So', 'TO LAND'})",frozenset({'CRIMINAL TRESPASS'}),0.0006112687796455435,0.026681485303748982,1.0,0.0006112687796455435,0.5114549241297233,0.9557776674577283
"frozenset({'CRIMINAL TRESPASS', 'PM', 'So'})",frozenset({'TO LAND'}),0.002222795562347431,0.01598428165995197,0.6071428571428572,0.001349554448568083,0.3457864769945724,0.7573095328910832
"frozenset({'CRIMINAL TRESPASS', 'So', 'TO LAND'})",frozenset({'PM'}),0.0019608232282136264,0.6291384682557009,0.688259109311741,0.001349554448568083,0.34520209632726895,0.9957323961352584
"frozenset({'TO LAND', 'PM', 'So'})",frozenset({'CRIMINAL TRESPASS'}),0.001349554448568083,0.026681485303748982,1.0,0.001349554448568083,0.525290092234454,0.9048723782612855
"frozenset({'TO LAND', 'So'})","frozenset({'CRIMINAL TRESPASS', 'PM'})",0.0019608232282136264,0.016583642606227796,0.688259109311741,0.001349554448568083,0.3848188796917728,0.7899125033310883
"frozenset({'TO LAND', 'APARTMENT'})",frozenset({'CRIMINAL TRESPASS'}),0.0007779784468216008,0.026681485303748982,1.0,0.0007779784468216008,0.5145789943469206,0.9440498664233665
"frozenset({'CRIMINAL TRESPASS', 'PM'})",frozenset({'TO LAND'}),0.016583642606227796,0.01598428165995197,0.6256582096696984,0.010375692142814615,0.6373883300645488,0.018554431215806497
"frozenset({'CRIMINAL TRESPASS', 'TO LAND'})",frozenset({'PM'}),0.01598428165995197,0.6291384682557009,0.6491184504593991,0.010375692142814615,0.3328051779621572,0.9654961496442516
"frozenset({'TO LAND', 'PM'})",frozenset({'CRIMINAL TRESPASS'}),0.010375692142814615,0.026681485303748982,1.0,0.010375692142814615,0.6944361797084201,0.4433290664326839
frozenset({'TO LAND'}),"frozenset({'CRIMINAL TRESPASS', 'PM'})",0.01598428165995197,0.016583642606227796,0.6491184504593991,0.010375692142814615,0.6373883300645488,0.018554431215806497
"frozenset({'CRIMINAL TRESPASS', 'Sa'})",frozenset({'TO LAND'}),0.003608073511024669,0.01598428165995197,0.6204620462046204,0.0022386726735070554,0.38025833872187814,0.6335505077864461
"frozenset({'TO LAND', 'Sa'})",frozenset({'CRIMINAL TRESPASS'}),0.0022386726735070554,0.026681485303748982,1.0,0.0022386726735070554,0.541951800059506,0.8469317777035358
"frozenset({'TO LAND', 'Sa'})",frozenset({'PM'}),0.0022386726735070554,0.6291384682557009,0.6613475177304965,0.0014805406156349853,0.33185040016945894,0.9951284719036597
